Protocol,Size,Associativity,BlockSize,ProcNum,1_read,1_readMiss,1_write,1_writeMiss,1_missRate,1_writeBacks,1_ccTransfers,1_memTraffic,1_interventions,1_invalidations,1_flushes,1_busRdX,ProcNum,2_read,2_readMiss,2_write,2_writeMiss,2_missRate,2_writeBacks,2_ccTransfers,2_memTraffic,2_interventions,2_invalidations,2_flushes,2_busRdX,ProcNum,3_read,3_readMiss,3_write,3_writeMiss,3_missRate,3_writeBacks,3_ccTransfers,3_memTraffic,3_interventions,3_invalidations,3_flushes,3_busRdX,ProcNum,4_read,4_readMiss,4_write,4_writeMiss,4_missRate,4_writeBacks,4_ccTransfers,4_memTraffic,4_interventions,4_invalidations,4_flushes,4_busRdX,Reads,ReadMisses,Writes,WriteMisses,MissRate,WriteBacks,CcTransfers,MemoryTraffic,Interventions,Invalidations,Flushes,BusRdX
MSI,1048576,8,64,  0  ,112661,5752,11942,39,4.650000,170,0,6638,71,2014,116,716,  1  ,110830,5781,11710,41,4.750000,155,0,6636,48,2034,93,700,  2  ,114938,5752,12383,42,4.550000,186,0,6663,82,2008,121,725,  3  ,113428,5790,12108,39,4.640000,157,0,6661,64,2020,89,714,451857.000000,23075.000000,48143.000000,161.000000,4.647500,668.000000,0.000000,26598.000000,265.000000,8076.000000,419.000000,2855.000000
MSI,1048576,8,128,  0  ,112661,5340,11942,39,4.320000,275,0,6344,119,2066,164,729,  1  ,110830,5386,11710,40,4.430000,250,0,6347,84,2089,129,711,  2  ,114938,5341,12383,42,4.230000,283,0,6369,127,2053,166,745,  3  ,113428,5384,12108,39,4.320000,269,0,6386,110,2068,135,733,451857.000000,21451.000000,48143.000000,160.000000,4.325000,1077.000000,0.000000,25446.000000,440.000000,8276.000000,594.000000,2918.000000
MSI,1048576,8,256,  0  ,112661,5023,11942,39,4.060000,363,0,6137,166,2132,211,751,  1  ,110830,5070,11710,40,4.170000,342,0,6147,133,2157,178,735,  2  ,114938,5004,12383,42,3.960000,383,0,6167,192,2107,231,780,  3  ,113428,5084,12108,39,4.080000,332,0,6159,145,2148,170,743,451857.000000,20181.000000,48143.000000,160.000000,4.067500,1420.000000,0.000000,24610.000000,636.000000,8544.000000,790.000000,3009.000000
MESI,1048576,8,64,  0  ,112661,5752,11942,39,4.650000,170,4389,1572,1464,2014,116,39,  1  ,110830,5781,11710,41,4.750000,155,4422,1555,1428,2034,93,41,  2  ,114938,5752,12383,42,4.550000,186,4393,1587,1464,2008,121,42,  3  ,113428,5790,12108,39,4.640000,157,4395,1591,1474,2020,89,39,451857.000000,23075.000000,48143.000000,161.000000,4.647500,668.000000,17599.000000,6305.000000,5830.000000,8076.000000,419.000000,161.000000
MESI,1048576,8,128,  0  ,112661,5340,11942,39,4.320000,275,4124,1530,1367,2066,164,39,  1  ,110830,5386,11710,40,4.430000,250,4155,1521,1337,2089,129,40,  2  ,114938,5341,12383,42,4.230000,283,4115,1551,1377,2053,166,42,  3  ,113428,5384,12108,39,4.320000,269,4125,1567,1385,2068,135,39,451857.000000,21451.000000,48143.000000,160.000000,4.325000,1077.000000,16519.000000,6169.000000,5466.000000,8276.000000,594.000000,160.000000
MESI,1048576,8,256,  0  ,112661,5023,11942,39,4.060000,363,3938,1487,1283,2132,211,39,  1  ,110830,5070,11710,40,4.170000,342,3943,1509,1284,2157,178,40,  2  ,114938,5004,12383,42,3.960000,383,3903,1526,1321,2107,231,42,  3  ,113428,5084,12108,39,4.080000,332,3939,1516,1309,2148,170,39,451857.000000,20181.000000,48143.000000,160.000000,4.067500,1420.000000,15723.000000,6038.000000,5197.000000,8544.000000,790.000000,160.000000
DRAGON,1048576,8,64,  0  ,112661,5595,11942,3,4.490000,107,0,5705,1398,0,3,0,  1  ,110830,5604,11710,2,4.570000,110,0,5716,1387,0,9,0,  2  ,114938,5604,12383,2,4.400000,105,0,5711,1387,0,6,0,  3  ,113428,5611,12108,0,4.470000,123,0,5734,1417,0,6,0,451857.000000,22414.000000,48143.000000,7.000000,4.482500,445.000000,0.000000,22866.000000,5589.000000,0.000000,24.000000,0.000000
DRAGON,1048576,8,128,  0  ,112661,5069,11942,3,4.070000,145,0,5217,1256,0,3,0,  1  ,110830,5080,11710,1,4.150000,149,0,5230,1266,0,9,0,  2  ,114938,5080,12383,2,3.990000,145,0,5227,1257,0,6,0,  3  ,113428,5086,12108,0,4.050000,160,0,5246,1287,0,9,0,451857.000000,20315.000000,48143.000000,6.000000,4.065000,599.000000,0.000000,20920.000000,5066.000000,0.000000,27.000000,0.000000
DRAGON,1048576,8,256,  0  ,112661,4628,11942,3,3.720000,198,0,4829,1125,0,3,0,  1  ,110830,4633,11710,1,3.780000,200,0,4834,1175,0,11,0,  2  ,114938,4630,12383,2,3.640000,185,0,4817,1143,0,9,0,  3  ,113428,4640,12108,0,3.700000,196,0,4836,1176,0,9,0,451857.000000,18531.000000,48143.000000,6.000000,3.710000,779.000000,0.000000,19316.000000,4619.000000,0.000000,32.000000,0.000000
